siren_clean,departement,commune_insee
301546768,67,
301546776,67,
301546800,67,
301546966,75,
301547527,42,
301547543,53,
301547568,45,
301548038,39,
301548152,37,
301548194,63,
301548905,22,
301548921,2B,
301549002,22,
301549325,13,
301549390,03,
301549648,13,
301549747,06,
301549754,03,
301549853,84,
301569612,87,
301569620,87,
301569737,87,
301570362,26,
301570446,68,
301571147,95,
301571618,42,
301571865,31,
301571873,31,
301571881,56,
301571931,59,
301572012,33,
301572020,59,
301572095,33,
301572434,33,
301572442,33,
301572715,46,
301572863,25,
301573069,26,
301573143,57,
301573309,24,
301573358,51,
301573408,21,
301573572,33,
301573648,89,
301573713,21,
301573879,21,
301573895,18,
301573994,972,
301574224,12,
301574448,57,
301589172,75,
301589263,87,
301589347,31,
301589354,74,
301589404,81,
301589412,75,
301589461,81,
301589784,93,
301589859,75,
301590246,68,
301590279,67,
301590295,69,
301590774,62,
301590915,92,
301591046,51,
301591053,57,
301591186,08,
301591277,39,
301591483,44,
301591509,77,
301591525,39,
301592119,2A,
301592143,19,
301592341,14,
301592556,13,
301592861,01,
301593356,03,
301593539,22,
301593638,31,
301593703,35,
301608337,83,
301608394,95,
301608634,78,
301609087,93,
301609277,72,
301609434,69,
301609525,38,
301609707,94,
301610101,94,
301610192,33,
301610242,33,
301610317,33,
301610465,92,
301610515,33,
301611166,14,
301619086,89,
301619177,73,
301619235,73,
301619250,73,
301619276,73,
301619532,79,
301619656,01,
301619714,73,
301620241,75,
301620274,71,
301620704,71,
301620720,73,
301620837,69,
301620852,41,
301620985,25,
301621157,13,
301621512,45,
301621637,43,
301621728,03,
301621884,69,
301621892,10,
301621991,10,
301626685,73,
301626842,92,
301627329,28,
301627444,29,
301637203,75,
301637542,86,
301637609,88,
301637690,95,
301637740,86,
301637799,88,
301638052,86,
301638151,95,
301638185,75,
301638656,81,
301638797,77,
301639092,92,
301639183,77,
301639290,77,
301639340,28,
301639365,74,
301639431,75,
301639670,81,
301639878,75,
301639951,75,
301640033,74,
301640058,75,
301640108,75,
301640348,86,
301640611,69,
301641247,45,
301641411,42,
301641676,36,
301642039,31,
301642047,31,
301642203,57,
301642401,25,
301642427,25,
301642559,54,
301642567,54,
301642690,12,
301642856,12,
301642872,12,
301642898,03,
301642971,07,
301643060,31,
301652376,38,
301652616,81,
301652657,73,
301652848,92,
301653085,75,
301653150,25,
301653176,75,
301653259,13,
301653366,86,
301653606,50,
301654133,91,
301654232,2B,
301654299,86,
301654596,06,
301654729,06,
301654828,13,
301668174,87,
301668364,77,
301668448,74,
301668497,93,
301668695,69,
301669099,62,
301669263,69,
301669297,49,
301669347,49,
301669735,38,
301669941,38,
301670089,75,
301670188,28,
301670964,14,
301671160,75,
301688990,75,
301689535,76,
301689642,18,
301689790,92,
301689949,73,
301689956,73,
301690046,75,
301690301,83,
301690962,62,
301691333,92,
301691655,44,
301691713,81,
301691945,22,
301692307,40,
301692398,30,
301692455,13,
301692737,13,
301693271,02,
301693479,38,
301709945,74,
301710349,62,
301710778,69,
301710943,69,
301711164,37,
301711263,42,
301711453,75,
301711461,33,
301711628,59,
301711644,26,
301711768,2B,
301711917,25,
301712501,42,
301712626,12,
301712907,01,
301713079,95,
301761359,83,
301761649,83,
301761755,83,
301761946,75,
301762217,75,
301762258,94,
301762274,77,
301762282,78,
301762548,75,
301762647,33,
301762720,75,
301763116,93,
301763405,33,
301763777,75,
301764320,67,
301764494,66,
301764635,77,
301764981,60,
301765442,51,
301765624,51,
301765632,78,
301765772,77,
301765798,49,
301765822,79,
301766465,33,
301766481,33,
301767117,31,
301767364,52,
301767570,27,
301767729,25,
301767794,24,
301767992,2B,
301768107,91,
301768123,77,
301768289,93,
301768339,31,
301768404,75,
301768628,91,
301768768,90,
301768859,28,
301768867,93,
301769105,87,
301769147,87,
301769188,21,
301769196,85,
301769626,63,
